,city_name,cloudiness,country,data,humidity,lat,lon,max_temp,wind_speed
61,Ponta do Sol,20,PT,1598663021,69,32.67,-17.1,75.2,11.41
62,Bethel,40,US,1598663021,78,41.37,-73.41,73.4,3.36
63,Vila Franca do Campo,20,PT,1598663022,94,37.72,-25.43,73.4,9.17
64,Lebu,56,CL,1598663022,80,-37.62,-73.65,45.28,20.89
65,Domoni,15,KM,1598663022,81,-12.26,44.53,73.35,6.91
66,Yulara,0,AU,1598663023,15,-25.24,130.99,66.2,12.75
67,Butaritari,78,KI,1598663023,74,3.07,172.79,82.27,14.5
68,Tuktoyaktuk,20,CA,1598663023,62,69.45,-133.04,51.8,11.41
69,Thompson,75,CA,1598663023,82,55.74,-97.86,59.0,6.93
70,Chokurdakh,100,RU,1598662732,81,70.63,147.92,40.66,7.87
71,Rawlins,1,US,1598662861,18,41.79,-107.24,80.6,9.17
72,Ust-Kuyga,0,RU,1598663024,50,70.02,135.6,52.63,2.73
73,Carnarvon,75,AU,1598663025,88,-24.87,113.63,64.4,16.11
74,Esim,30,GH,1598663025,90,4.87,-2.24,73.94,8.93
75,Ixtapa,75,MX,1598663025,70,20.7,-105.2,84.2,4.7
76,Belém de São Francisco,89,BR,1598663025,74,-8.75,-38.97,72.86,23.51
77,Constitución,77,CL,1598663019,89,-35.33,-72.42,51.58,11.83
78,Innisfail,100,AU,1598663026,90,-17.53,146.03,62.01,8.99
79,Lagoa Nova,28,BR,1598663026,88,-6.1,-36.48,66.87,15.64
80,Zhuhai,20,CN,1598663027,84,22.28,113.57,86.0,3.36
81,Lorengau,100,PG,1598662869,77,-2.02,147.27,84.02,13.6
82,Chinsali,0,ZM,1598663027,67,-10.54,32.08,56.95,3.0
83,Nanortalik,100,GL,1598663024,78,60.14,-45.24,48.99,15.26
84,Kuching,20,MY,1598663028,94,1.55,110.33,78.8,3.36
85,Kumul,0,CN,1598663028,39,42.8,93.45,67.95,17.94
86,Nandu,77,CN,1598663028,64,22.85,110.82,85.24,2.26
