,city_name,cloudiness,country,data,humidity,lat,lon,max_temp,wind_speed
341,Tabas,0,IR,1598816565,23,33.6,56.92,82.4,9.17
342,Amoy,4,CN,1598816566,78,24.48,118.08,82.4,2.24
343,Chokwé,91,MZ,1598816566,68,-24.53,32.98,67.3,14.38
344,Mityana,20,UG,1598816567,78,0.42,32.02,73.4,2.24
345,San Angelo,1,US,1598816566,30,31.46,-100.44,99.0,10.29
346,Chhindwāra,2,IN,1598816569,95,22.07,78.93,70.52,4.38
347,Toppenish,1,US,1598816571,25,46.38,-120.31,75.2,4.7
348,Itaú de Minas,0,BR,1598816573,28,-20.74,-46.75,85.8,2.35
349,Mishan,100,CN,1598816574,93,45.55,131.88,58.14,5.03
350,Ha Tinh,100,VN,1598816476,90,18.33,105.9,78.62,3.24
351,Somoto,1,NI,1598816577,58,13.48,-86.58,83.28,7.45
352,Drovyanaya,75,RU,1598816578,93,51.58,113.03,51.8,6.71
353,Aswān,0,EG,1598816488,14,24.09,32.91,89.89,9.13
354,Santo Antônio do Monte,22,BR,1598816580,35,-20.09,-45.29,80.89,3.6
355,Hamilton,1,US,1598816581,36,39.18,-84.53,82.0,5.82
356,Barranca,48,PE,1598816582,69,-10.75,-77.77,65.62,11.03
357,Skiathos,0,GR,1598816584,40,39.16,23.49,77.0,6.2
358,Bestöbe,0,KZ,1598816584,50,52.5,73.1,68.18,2.42
359,Oriximiná,5,BR,1598816586,39,-1.77,-55.87,93.65,9.17
360,Pindiga,64,NG,1598816587,95,9.98,10.93,72.75,2.1
361,Somanda,0,TZ,1598816588,70,-3.37,33.95,69.1,7.67
362,San Quintín,15,MX,1598816589,67,30.48,-115.95,73.02,11.97
363,Mitú,83,CO,1598816590,56,1.2,-70.17,87.3,1.45
364,Kiunga,96,PG,1598816591,98,-6.12,141.29,72.23,1.28
365,Kumul,0,CN,1598816592,24,42.8,93.45,69.31,6.98
366,Bima,34,ID,1598816593,86,-8.47,118.72,70.84,4.27
367,Guerrero Negro,4,MX,1598816595,57,27.98,-114.06,81.18,10.22
368,Maun,75,BW,1598816596,25,-19.98,23.42,64.4,2.24
